epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.574,1.36095,1.71012,1.13487,0.95178,0.57442,0.62824,0.39808,1.24973,1.05733,1.10544,0.00047506,0.00047506,0.00047506
2,186.49,1.29877,1.01481,1.11527,0.92106,0.58526,0.63338,0.40629,1.24103,0.83411,1.10092,0.000932555,0.000932555,0.000932555
3,281.153,1.29809,0.88819,1.11658,0.94333,0.55986,0.62475,0.40652,1.24015,0.78717,1.11363,0.00137119,0.00137119,0.00137119
4,373.392,1.28285,0.83526,1.11388,0.94732,0.58435,0.63884,0.40691,1.25477,0.7338,1.12646,0.00134412,0.00134412,0.00134412
5,466.642,1.26993,0.79409,1.11137,0.9455,0.58145,0.63154,0.41458,1.20493,0.69334,1.09333,0.00131582,0.00131582,0.00131582
6,562.133,1.25397,0.76354,1.10346,0.95236,0.59502,0.63918,0.41457,1.21755,0.66032,1.10258,0.00128753,0.00128753,0.00128753
7,656.605,1.2485,0.74426,1.10106,0.95097,0.58388,0.63989,0.41926,1.19293,0.67024,1.09684,0.00125923,0.00125923,0.00125923
8,750.878,1.2347,0.72881,1.0973,0.95713,0.58645,0.63969,0.42501,1.18329,0.63165,1.09741,0.00123094,0.00123094,0.00123094
9,844.243,1.20656,0.70348,1.08275,0.96324,0.5844,0.64181,0.42405,1.18883,0.61156,1.08987,0.00120265,0.00120265,0.00120265
10,937.356,1.20553,0.68722,1.081,0.95238,0.60218,0.64546,0.43246,1.18931,0.62053,1.10068,0.00117435,0.00117435,0.00117435
11,1032.28,1.20037,0.68415,1.07889,0.96399,0.59617,0.64453,0.42943,1.17732,0.59869,1.09427,0.00114606,0.00114606,0.00114606
12,1126.74,1.18904,0.6642,1.0757,0.9556,0.60543,0.64685,0.43244,1.16879,0.5838,1.08399,0.00111776,0.00111776,0.00111776
13,1218.41,1.18956,0.67,1.07914,0.95423,0.60436,0.64697,0.42586,1.19841,0.59556,1.09147,0.00108947,0.00108947,0.00108947
14,1310.12,1.184,0.65665,1.07634,0.96517,0.60009,0.65408,0.43567,1.18209,0.57972,1.08209,0.00106118,0.00106118,0.00106118
15,1403.61,1.17597,0.6509,1.06937,0.96259,0.60552,0.6506,0.4371,1.16367,0.575,1.07822,0.00103288,0.00103288,0.00103288
16,1497.12,1.16967,0.64626,1.0696,0.94857,0.61086,0.64503,0.43947,1.14576,0.57604,1.068,0.00100459,0.00100459,0.00100459
17,1590.19,1.16122,0.63577,1.06631,0.95328,0.61015,0.6483,0.43891,1.16025,0.5803,1.08158,0.000976293,0.000976293,0.000976293
18,1683.31,1.16029,0.62554,1.05999,0.95524,0.61446,0.65115,0.44082,1.16218,0.5544,1.08125,0.000947999,0.000947999,0.000947999
19,1778.68,1.15894,0.61624,1.05921,0.95216,0.61011,0.64975,0.43994,1.14734,0.55166,1.07583,0.000919704,0.000919704,0.000919704
